text,label,label_text
* slick-looking design and improved interface,1,positive
the day finally arrived when i was sure i 'd leave sprint .,0,negative
"as for bluetooth , no problems at all .",1,positive
2 ) storage capacity,1,positive
neither message was answered ( they ask for 24 hours before replying - i 've been waiting 27 days . ),0,negative
"for a price that 's still less than even the lowest level ipod i was able to get this 40gb monster , and the best part is it works as great as it was advertised to and then some .",1,positive
i bought the player this week and i like it by far .,1,positive
only problem is that is a bit heavy .,0,negative
i love the slim design ; . the weight would only be an issue if it were bulky .,1,positive
"it fits into a hand well , it has a removable battery ( this is important ) , great sound quality , fm stereo , recorder , smooth ui , and a feature that most uni pods lack . . . char ! .",1,positive
"once a depth is locked , it will jump off a little while working .",0,negative
the thought of not having to buy refills and just using regular bags is awesome ! .,1,positive
where close to 12 hours but at least it is replaceable ( and they included a second one free ) .,0,negative
"took me a few tries to get use to the navigation , but it 's a very user friendly player imo .",1,positive
the pc-side software can be goofy and takes a little getting used to but it 's not as bad as some reviewers have indicated .,0,negative
symantec should give us all a refund and apology ! .,0,negative
there were sharp screw tips on the underside of the unit coming from inside that were obviously used to anchor the internal control board .,0,negative
the menu pops up after 3 seconds the picture takes a while to load from its slow card memory .,0,negative
my dad also has an apex tv and it was another great value for the money .,1,positive
"it feels like i 'm back to the days of 56k dial-up internet service , even though i 'm running a dell 2ghz pentium 4 with 256mb memory and have had excellent broadband service for the past year .",0,negative
the diaper champ couldn 't be easier to use .,1,positive
"the box is upstairs , and in the farthest room i get connected at 11-18m speed - that is similar to the older 10m ethernet standard .",1,positive
it looks sleek and modern .,1,positive
speakerphone - loud and clear has some nice extra features like currency converter and a stopwatch .,1,positive
"all in all , this is the camera for you if you can spare the extra cost in price .",1,positive
even viewed cds full of jogs .,1,positive
4 . play n-gage games on it .,2,neutral
"this is the first cell phone i 've owned , and overall , i am quite pleased with it .",2,neutral
i 've printed several photos and the prints look as good as the screen views .,2,neutral
norton support is completely pathetic .,0,negative
i have noticed an odor ( one the i expected ! . ) when unloading the diaper champ but at least you don 't smell anything every time you use it .,0,negative
"as often mentioned , the scroll tab is average , however , not difficult to use or horrible .",2,neutral
i enthusiastically recommend this camera .,1,positive
- best in class sound,1,positive
"-- > will not automatically transfer songs with identical titles ( if you have live albums or greatest hits albums , this will cause you inordinate frustration ) .",2,neutral
"just too numerous to list : fm radio , which has weak reception , but at least it there , and a microphone , to name just two .",2,neutral
i have stored around 60 cd 's ( at 160kbps ) on this and have barely touched the available memory .,1,positive
"i have been absolutely , completely satisfied with the product and its capabilities .",1,positive
i highly recommend this ! .,1,positive
as mentioned in other reviews the headphones are useless and need to be replaced right away ! .,2,neutral
